-1.880000e+02	a8	5f	-1.410000e+02	32	-1.820000e+02	-2.160000e+02	1a	-1.850000e+02	40	55	-8.000000e+00	c9	c0	-3.000000e+00	f7	81	f4	43	-4.500000e+01	17	46	20	-6.100000e+01	d6	-2.070000e+02	85	f9	-6.700000e+01	-1.440000e+02	-7.000000e+00	57	-7.900000e+01	43	-1.970000e+02	45	-1.770000e+02	-5.500000e+01	a6	92	48	-1.370000e+02	fc	-1.680000e+02	b9	94	a0	-5.700000e+01	aa	c3
b6	-1.930000e+02	-3.200000e+01	-4.500000e+01	bd	-1.530000e+02	d2	b0	-5.000000e+00	-1.130000e+02	f5	4d	-1.630000e+02	-6.900000e+01	4c	bb	-1.260000e+02	ea	-1.270000e+02	-2.080000e+02	-1.140000e+02	-2.440000e+02	65	35	5b	-2.470000e+02	-5.900000e+01	dc	da	e7	b9	-2.600000e+01	-6.300000e+01	6e	dd	5d	-2.150000e+02	-2.900000e+01	99	-1.510000e+02	-4.500000e+01	-1.580000e+02	9	-2.380000e+02	-4.000000e+01	-6.900000e+01	-4.200000e+01	3f	-3.100000e+01	-1.870000e+02
-2.600000e+01	-8.800000e+01	9f	-9.000000e+00	21	f8	-4.500000e+01	e9	89	f	29	-4.600000e+01	f9	-2.030000e+02	-1.190000e+02	e7	-1.850000e+02	54	2a	-1.930000e+02	-1.000000e+01	91	ad	-6.600000e+01	8d	-1.350000e+02	-9.000000e+00	3e	f0	-1.370000e+02	-9.800000e+01	5f	89	ac	5b	86	-1.970000e+02	65	54	f8	-2.450000e+02	aa	4a	72	-1.520000e+02	-3.700000e+01	-1.000000e+01	-4.600000e+01	9c	-7.900000e+01
e2	-1.250000e+02	c1	-2.530000e+02	34	-2.240000e+02	-2.060000e+02	-5.000000e+01	-1.400000e+02	-6.500000e+01	-2.290000e+02	fc	-6.200000e+01	68	-1.700000e+02	-2.060000e+02	f4	fb	c2	-1.030000e+02	74	d9	45	-2.520000e+02	e7	-1.090000e+02	cc	29	e4	-8.000000e+01	-2.040000e+02	-1.600000e+02	-1.800000e+01	-2.000000e+01	48	-1.400000e+02	d2	-1.240000e+02	c4	-2.000000e+02	d6	b2	-2.210000e+02	-2.370000e+02	-3.100000e+01	-1.570000e+02	-1.520000e+02	-1.140000e+02	-2.440000e+02	-2.170000e+02
-1.720000e+02	35	-1.730000e+02	cb	-1.290000e+02	78	c2	-2.290000e+02	41	20	-1.600000e+01	-2.420000e+02	5d	-1.460000e+02	84	-6.100000e+01	e4	-7.500000e+01	-3.400000e+01	-8.200000e+01	-1.500000e+02	-2.100000e+01	-2.080000e+02	fc	e0	-8.700000e+01	2b	dd	-1.700000e+02	28	-3.900000e+01	-6.700000e+01	b9	74	-1.210000e+02	-9.100000e+01	b2	-8.700000e+01	21	-2.500000e+01	bf	-8.800000e+01	7a	bd	58	-1.410000e+02	97	-1.020000e+02	22	-7.400000e+01
-2.340000e+02	-1.060000e+02	-9.000000e+00	5d	d5	c5	cc	-1.680000e+02	82	11	ba	74	80	-3.600000e+01	-4.000000e+01	-2.430000e+02	f2	-1.360000e+02	-4.900000e+01	-1.950000e+02	47	6a	fb	c8	d7	-1.290000e+02	-5.700000e+01	3c	-1.790000e+02	6	51	e5	59	-9.000000e+01	-3.200000e+01	c1	c3	99	55	16	cb	-8.900000e+01	-4.500000e+01	-1.680000e+02	fc	-1.160000e+02	a	-2.300000e+02	-6.200000e+01	-5.500000e+01
e6	e5	-9.000000e+01	-1.040000e+02	d8	b8	38	-7.300000e+01	ce	-8.600000e+01	-2.050000e+02	-1.870000e+02	-2.330000e+02	18	ec	-1.400000e+01	b5	92	-8.500000e+01	ee	-1.470000e+02	c7	-1.660000e+02	3a	-2.200000e+02	ad	-2.030000e+02	6b	-3.400000e+01	3d	a8	-1.950000e+02	54	d8	58	-7.500000e+01	-2.430000e+02	a6	-4.800000e+01	56	-1.920000e+02	-3.700000e+01	5	-5.000000e+01	b8	-1.620000e+02	-3.900000e+01	-2.030000e+02	5c	-1.920000e+02
-1.440000e+02	-2.510000e+02	e4	-1.260000e+02	-1.200000e+01	c7	-2.490000e+02	-1.240000e+02	66	f3	1c	3b	e5	2	d5	-4.700000e+01	-1.230000e+02	-1.370000e+02	c3	6	48	-1.140000e+02	-2.300000e+02	-1.640000e+02	-1.690000e+02	-8.900000e+01	-3.400000e+01	6	-2.510000e+02	-8.200000e+01	e8	-6.400000e+01	dd	-2.270000e+02	5f	4b	1e	8a	-1.400000e+01	-6.600000e+01	-1.200000e+01	-6.400000e+01	-1.220000e+02	57	-9.800000e+01	e5	78	6a	67	-2.320000e+02
-1.010000e+02	-1.480000e+02	-9.800000e+01	1b	46	-2.130000e+02	4e	f7	7	a5	-2.170000e+02	40	-2.540000e+02	-1.230000e+02	5c	df	31	-7.000000e+00	-1.360000e+02	-2.270000e+02	-1.050000e+02	29	-1.430000e+02	83	2b	54	ad	-1.250000e+02	-6.500000e+01	-8.100000e+01	70	c7	-1.480000e+02	ad	52	3f	6	-2.390000e+02	-8.300000e+01	-1.570000e+02	27	-5.600000e+01	-1.890000e+02	-1.060000e+02	6	e4	-6.900000e+01	ca	44	e2
74	3c	37	b7	-2.480000e+02	c9	-2.080000e+02	-5.500000e+01	-1.590000e+02	-2.250000e+02	8b	-1.610000e+02	-5.900000e+01	2e	e4	94	-3.000000e+00	6	-2.900000e+01	6a	-1.100000e+01	23	de	-7.500000e+01	-1.130000e+02	-7.000000e+01	-2.400000e+02	-2.510000e+02	7d	f	9	63	-4.900000e+01	60	f9	ca	a2	ea	c0	98	-2.000000e+02	-2.420000e+02	d3	7	94	93	30	-1.360000e+02	99	c8
